province,division,year,population
Quebec,La Vallee-du-Richelieu,2011,116773
Alberta,Division No. 12,2006,59990
Quebec,L'Islet,2001,19368
Ontario,Grey,2011,92568
Ontario,Oxford,2006,102756
Ontario,Kawartha Lakes,2011,73214
Quebec,La Haute-C�te-Nord,2011,11546
Quebec,Abitibi-Ouest,2011,21003
Quebec,Maria-Chapdelaine,2011,25279
Quebec,L'Islet,2011,18517
Saskatchewan,Division No. 13,2001,24054
Alberta,Division No. 11,2011,1203115
Saskatchewan,Division No.  3,2006,13133
Quebec,Therese-De Blainville,2011,154144
Nova Scotia,Queens,2006,11212
Manitoba,Division No. 18,2006,23861
British Columbia,Sunshine Coast,2001,25599
British Columbia,Fraser-Fort George,2011,91879
Quebec,Roussillon,2011,162187
Quebec,Laval,2011,401553
Quebec,Pontiac,2011,14358
British Columbia,Bulkley-Nechako,2006,38243
Ontario,Waterloo,2001,438515
Quebec,La Vallee-de-l'Or,2006,41896
Quebec,Montcalm,2006,42558
Ontario,Durham,2006,561258
Quebec,Rouville,2011,35690
Northwest Territories,Region 3,2006,2774
Manitoba,Division No. 19,2001,15805
Quebec,Minganie--Le Golfe-du-Saint-Laurent,2011,11708
Manitoba,Division No.  9,2001,23322
Saskatchewan,Division No.  7,2001,46982
Quebec,La Jacques-Cartier,2001,26459
New Brunswick,Kings,2006,65824
Nova Scotia,Yarmouth,2006,26277
Quebec,Le Rocher-Perce,2006,18437
Nova Scotia,Victoria,2001,7962
Quebec,Maria-Chapdelaine,2006,25767
Quebec,Beauharnois-Salaberry,2011,61950
Ontario,Frontenac,2011,149738
Ontario,Ottawa,2011,883391
Prince Edward Island,Kings,2011,17990
Quebec,Bonaventure,2006,17948
Quebec,Manicouagan,2011,32012
Quebec,La Matapedia,2011,18573
New Brunswick,Northumberland,2001,50817
Quebec,Le Granit,2011,22259
Alberta,Division No. 19,2001,86299
Nova Scotia,Cape Breton,2001,109330
Nova Scotia,Pictou,2011,45643
Saskatchewan,Division No. 10,2006,17680
Quebec,Matawinie,2011,49516
Prince Edward Island,Prince,2001,44495
Nova Scotia,Halifax,2011,390328
Quebec,Vaudreuil-Soulanges,2001,102100
Nova Scotia,Digby,2006,18992
British Columbia,Central Kootenay,2001,57019
British Columbia,Alberni-Clayoquot,2001,30345
Manitoba,Division No. 15,2001,21919
Quebec,La Vallee-de-l'Or,2001,42375
Quebec,Shawinigan,2001,52040
British Columbia,Central Okanagan,2001,147739
British Columbia,Nanaimo,2001,127016
Newfoundland and Labrador,Division No.  9,2006,18084
Ontario,Halton,2006,439206
British Columbia,Alberni-Clayoquot,2011,31061
British Columbia,Fraser-Fort George,2001,95317
Saskatchewan,Division No.  2,2001,21635
British Columbia,Central Kootenay,2011,58441
Quebec,L'Islet,2006,18902
Newfoundland and Labrador,Division No.  8,2001,42188
Quebec,Charlevoix,2011,13338
Quebec,Temiscouata,2001,22420
Quebec,Quebec,2011,551902
Nova Scotia,Kings,2006,60035
Ontario,Hastings,2006,130474
Manitoba,Division No. 16,2011,9928
Nova Scotia,Halifax,2001,359183
Newfoundland and Labrador,Division No.  5,2001,40466
Manitoba,Division No. 20,2006,10405
Manitoba,Division No. 20,2001,11013
Manitoba,Division No. 17,2001,22899
Ontario,Haldimand-Norfolk,2006,107812
Quebec,Kamouraska,2001,22494
Quebec,La Vallee-du-Richelieu,2006,106762
Alberta,Division No.  5,2006,51104
Alberta,Division No.  5,2001,47606
Quebec,Drummond,2011,98681
Ontario,Thunder Bay,2011,146057
Quebec,Montreal,2001,1812723
British Columbia,Columbia-Shuswap,2001,48219
Ontario,Durham,2011,608124
Quebec,Rouyn-Noranda,2011,41012
New Brunswick,Sunbury,2006,25542
Quebec,Nord-du-Quebec,2011,42579
Ontario,Peterborough,2006,133080
Quebec,Nicolet-Yamaska,2001,23481
Nova Scotia,Cape Breton,2006,105928
Ontario,Manitoulin,2011,13048
Ontario,Northumberland,2011,82126
Alberta,Division No.  3,2001,37580
Ontario,York,2001,729254
British Columbia,Kitimat-Stikine,2011,37361
Newfoundland and Labrador,Division No.  9,2011,16786
Saskatchewan,Division No. 11,2011,271170
Ontario,Renfrew,2011,101326
Ontario,Simcoe,2006,422204
Ontario,Durham,2001,506901
Quebec,Sept-Rivieres--Caniapiscau,2011,39500
Alberta,Division No.  4,2011,10078
New Brunswick,Charlotte,2006,26898
Saskatchewan,Division No.  5,2006,30529
Quebec,Robert-Cliche,2011,19288
British Columbia,Central Okanagan,2006,162276
Quebec,La Haute-Gaspesie,2001,12722
Newfoundland and Labrador,Division No.  7,2006,35501
Saskatchewan,Division No. 13,2011,23089
Quebec,Les Jardins-de-Napierville,2011,26234
Quebec,Abitibi-Ouest,2006,20792
Ontario,Wellington,2006,200425
British Columbia,Fraser-Fort George,2006,92264
Quebec,Beauharnois-Salaberry,2006,60802
Nova Scotia,Guysborough,2001,9827
British Columbia,Comox Valley,2006,59482
New Brunswick,Northumberland,2006,49714
New Brunswick,Kent,2006,31449
Ontario,Prescott and Russell,2011,85381
British Columbia,Okanagan-Similkameen,2001,76635
Manitoba,Division No. 23,2001,8989
Ontario,Algoma,2001,118567
Quebec,Maskinonge,2006,35637
Quebec,Bellechasse,2001,33377
Manitoba,Division No. 12,2001,19251
Quebec,La C�te-de-Gaspe,2006,17888
Quebec,Le Haut-Saint-Laurent,2011,21197
Ontario,Hastings,2001,125915
Ontario,Northumberland,2006,80963
British Columbia,Strathcona,2011,43252
British Columbia,Comox-Strathcona,2001,96131
Quebec,La C�te-de-Beaupre,2011,26172
Manitoba,Division No.  1,2011,17331
Quebec,Les Laurentides,2011,45157
Quebec,Francheville,2011,149203
Ontario,Leeds and Grenville,2011,99306
Ontario,Bruce,2006,65349
British Columbia,Squamish-Lillooet,2001,33011
Quebec,Levis,2001,121999
Nunavut,Kitikmeot,2011,6012
Manitoba,Division No.  8,2001,14603
Quebec,Le Haut-Saint-Laurent,2001,21851
Quebec,Argenteuil,2006,29992
Quebec,Mekinac,2001,12809
Newfoundland and Labrador,Division No.  2,2011,21351
Quebec,La Vallee-de-la-Gatineau,2006,20518
New Brunswick,York,2011,97238
Ontario,Lennox and Addington,2011,41824
Nunavut,Baffin,2011,16939
Ontario,Essex,2001,374975
